2000 1 0 -1 -1 -1 -1 0
2000 2 0 1 0 0 0 0
2000 3 0 0 1 1 1 0
2000 4 -1 -1 -1 -1 -1 0
2000 5 1 1 1 0 0 0
2000 6 0 0 0 1 1 0
2000 7 0 -1 -1 -1 -1 0
2000 8 0 1 1 1 0 0
2000 9 0 0 0 0 1 1
2000 10 0 0 -1 -1 -1 -1
2000 11 0 0 1 1 0 0
2000 12 -1 -1 -1 -1 0 0
2001 1 1 1 1 0 0 0
2001 2 0 0 0 0 0 0
2001 3 0 0 0 1 1 1
2001 4 0 -1 -1 -1 -1 -1
2001 5 0 1 1 1 0 0
2001 6 0 0 0 0 1 1
2001 7 0 0 -1 -1 -1 -1
2001 8 0 0 1 1 1 0
2001 9 -1 -1 -1 -1 -1 0
2001 10 1 1 1 0 0 0
2001 11 0 0 0 1 1 0
2001 12 0 -1 -1 -1 -1 0
2002 1 0 1 1 1 0 0
2002 2 0 0 0 0 0 0
2002 3 -1 -1 -1 -1 0 0
2002 4 1 1 0 0 0 0
2002 5 0 0 1 1 1 0
2002 6 -1 -1 -1 -1 -1 0
2002 7 1 1 1 0 0 0
2002 8 0 0 0 1 1 1
2002 9 0 -1 -1 -1 -1 -1
2002 10 0 1 1 1 0 0
2002 11 0 0 0 0 1 1
2002 12 0 0 -1 -1 -1 -1
2003 1 0 0 1 1 1 0
2003 2 0 0 0 0 0 0
2003 3 0 -1 -1 -1 -1 0
2003 4 0 1 1 0 0 0
2003 5 0 0 0 1 1 1
2003 6 0 -1 -1 -1 -1 -1
2003 7 0 1 1 1 0 0
2003 8 -1 -1 -1 -1 0 0
2003 9 1 1 0 0 0 0
2003 10 0 0 1 1 1 0
2003 11 -1 -1 -1 -1 -1 0
2003 12 1 1 1 0 0 0
2004 1 0 0 0 1 1 1
2004 2 -1 -1 -1 -1 -1 -1
2004 3 1 1 1 0 0 0
2004 4 0 0 0 1 1 0
2004 5 0 -1 -1 -1 -1 0
2004 6 0 1 1 0 0 0
2004 7 0 0 0 1 1 1
2004 8 0 0 -1 -1 -1 -1
2004 9 0 0 1 1 0 0
2004 10 -1 -1 -1 -1 0 0
2004 11 1 1 0 0 0 0
2004 12 0 0 1 1 1 0
2005 1 0 -1 -1 -1 -1 0
2005 2 0 0 0 0 0 0
2005 3 0 1 1 1 0 0
2005 4 0 0 0 0 1 1
2005 5 0 0 -1 -1 -1 -1
2005 6 0 0 1 1 0 0
2005 7 -1 -1 -1 -1 0 0
2005 8 1 1 1 0 0 0
2005 9 0 0 0 1 1 0
2005 10 0 -1 -1 -1 -1 0
2005 11 0 1 1 0 0 0
2005 12 0 0 0 1 1 1
2006 1 0 0 -1 -1 -1 -1
2006 2 0 0 0 0 0 0
2006 3 0 0 1 1 1 0
2006 4 -1 -1 -1 -1 -1 0
2006 5 1 1 1 0 0 0
2006 6 0 0 0 1 1 0
2006 7 0 -1 -1 -1 -1 0
2006 8 0 1 1 1 0 0
2006 9 0 0 0 0 1 1
2006 10 0 0 -1 -1 -1 -1
2006 11 0 0 1 1 0 0
2006 12 -1 -1 -1 -1 0 0
2007 1 1 1 1 0 0 0
2007 2 0 0 0 0 0 0
2007 3 0 0 0 1 1 1
2007 4 0 -1 -1 -1 -1 -1
2007 5 0 1 1 1 0 0
2007 6 0 0 0 0 1 1
2007 7 0 0 -1 -1 -1 -1
2007 8 0 0 1 1 1 0
2007 9 -1 -1 -1 -1 -1 0
2007 10 1 1 1 0 0 0
2007 11 0 0 0 1 1 0
2007 12 0 -1 -1 -1 -1 0
2008 1 0 1 1 1 0 0
2008 2 0 0 0 0 1 0
2008 3 0 -1 -1 -1 -1 0
2008 4 0 1 1 0 0 0
2008 5 0 0 0 1 1 1
2008 6 0 -1 -1 -1 -1 -1
2008 7 0 1 1 1 0 0
2008 8 -1 -1 -1 -1 0 0
2008 9 1 1 0 0 0 0
2008 10 0 0 1 1 1 0
2008 11 -1 -1 -1 -1 -1 0
2008 12 1 1 1 0 0 0
2009 1 0 0 0 1 1 1
2009 2 0 0 0 0 0 0
2009 3 0 0 -1 -1 -1 -1
2009 4 0 0 1 1 0 0
2009 5 -1 -1 -1 -1 0 0
2009 6 1 1 0 0 0 0
